DATE,PRCP,SNOW,TMAX,TMIN
2017-01-01,0.01,0,40,27
2017-01-02,0.02,0,43,30
2017-01-03,0.03,0,38,36
2017-01-04,0.43,0,44,38
2017-01-05,0,0,43,20
2017-01-06,0.03,0.3,25,15
2017-01-07,0,0,19,11
2017-01-08,0,0,19,10
2017-01-09,0,0,16,9
2017-01-10,0,0,23,12
2017-01-11,0.22,1.1,38,17
2017-01-12,0.27,0,53,36
2017-01-13,0.49,0,61,34
2017-01-14,0,0,37,26
2017-01-15,0.04,0.5,28,24
2017-01-16,0,0,35,19
2017-01-17,0.04,0,34,19
2017-01-18,0.08,0,42,33
2017-01-19,0.02,0,43,38
2017-01-20,0,0,40,29
2017-01-21,0.15,0,39,31
2017-01-22,0.02,0,46,38
2017-01-23,0.03,0,46,40
2017-01-24,1.04,2.1,43,32
2017-01-25,0.02,0,38,33
2017-01-26,0.11,0,49,38
2017-01-27,0,0,44,31
2017-01-28,0,0,33,28
2017-01-29,0.02,0.4,32,27
2017-01-30,0,0,32,23
2017-01-31,0.04,0.6,29,20
2017-02-01,0.23,3.2,38,24
2017-02-02,0.02,0,37,32
2017-02-03,0,0,33,16
2017-02-04,0,0,25,16
2017-02-05,0,0,30,16
2017-02-06,0,0,41,27
2017-02-07,0.07,0,49,31
2017-02-08,0.22,0,54,35
2017-02-09,0.7,5.7,52,25
2017-02-10,0.04,0.5,26,16
2017-02-11,0,0,28,17
2017-02-12,0.2,0,56,27
2017-02-13,0.16,0,45,28
2017-02-14,0,0,30,21
2017-02-15,0,0,47,23
2017-02-16,0.01,0.1,41,26
2017-02-17,0,0,28,20
2017-02-18,0,0,44,21
2017-02-19,0,0,66,32
2017-02-20,0,0,63,40
2017-02-21,0,0,57,34
2017-02-22,0,0,50,37
2017-02-23,0,0,64,43
2017-02-24,0,0,71,44
2017-02-25,0,0,74,52
2017-02-26,0.36,0,60,26
2017-02-27,0,0,34,26
2017-02-28,0,0,48,29
2017-03-01,0.15,0,55,36
2017-03-02,0.2,0,61,31
2017-03-03,0,0,37,23
2017-03-04,0.06,0.9,31,17
2017-03-05,0,0,29,11
2017-03-06,0,0,38,11
2017-03-07,0.44,0,46,31
2017-03-08,0.15,0,52,39
2017-03-09,0,0,54,39
2017-03-10,0.3,3,55,30
2017-03-11,0.1,1.4,33,14
2017-03-12,0,0,23,14
2017-03-13,0,0,25,14
2017-03-14,0.51,6.3,33,15
2017-03-15,0.24,3.8,27,14
2017-03-16,0.03,0.3,25,15
2017-03-17,0,0,33,21
2017-03-18,0,0,44,24
2017-03-19,0.28,0.6,40,31
2017-03-20,0,0,38,29
2017-03-21,0.07,0,41,31
2017-03-22,0,0,55,28
2017-03-23,0,0,34,18
2017-03-24,0.02,0,44,20
2017-03-25,0,0,64,36
2017-03-26,0,0,71,42
2017-03-27,0.4,0,45,41
2017-03-28,0.1,0,67,44
2017-03-29,0.24,0,57,44
2017-03-30,0,0,56,37
2017-03-31,0.15,0,45,37
2017-04-01,0.88,0,44,37
2017-04-02,0,0,45,38
2017-04-03,0,0,59,38
2017-04-04,0.28,0,64,44
2017-04-05,0.11,0,65,47
2017-04-06,0.02,0,65,47
2017-04-07,0.78,0,49,35
2017-04-08,0.04,0,36,32
2017-04-09,0,0,55,32
2017-04-10,0,0,70,37
2017-04-11,0,0,78,53
2017-04-12,0.13,0,79,53
2017-04-13,0,0,66,42
2017-04-14,0,0,58,44
2017-04-15,0,0,67,45
2017-04-16,0.11,0,77,56
2017-04-17,0.22,0,78,57
2017-04-18,0,0,68,43
2017-04-19,0,0,69,48
2017-04-20,0.24,0,55,49
2017-04-21,0.22,0,77,55
2017-04-22,0.11,0,69,48
2017-04-23,0.09,0,55,36
2017-04-24,0,0,66,41
2017-04-25,0.02,0,61,45
2017-04-26,0.11,0,56,51
2017-04-27,0.01,0,72,53
2017-04-28,0.67,0,73,56
2017-04-29,0.26,0,75,54
2017-04-30,0.01,0,74,55
2017-05-01,0,0,76,57
2017-05-02,0.56,0,76,52
2017-05-03,0.03,0,60,43
2017-05-04,0,0,60,43
2017-05-05,1.15,0,58,47
2017-05-06,0.85,0,62,51
2017-05-07,0.08,0,51,41
2017-05-08,0,0,53,36
2017-05-09,0,0,55,35
2017-05-10,0,0,61,42
2017-05-11,0,0,64,47
2017-05-12,0.06,0,51,48
2017-05-13,0.28,0,54,46
2017-05-14,0.06,0,55,45
2017-05-15,0,0,66,45
2017-05-16,0,0,70,48
2017-05-17,0,0,78,53
2017-05-18,0,0,88,61
2017-05-19,0,0,88,71
2017-05-20,0.04,0,83,50
2017-05-21,0.05,0,56,49
2017-05-22,0.03,0,61,56
2017-05-23,0.02,0,72,48
2017-05-24,0,0,68,52
2017-05-25,0.76,0,70,53
2017-05-26,0.6,0,63,54
2017-05-27,0,0,64,52
2017-05-28,0,0,70,56
2017-05-29,1.24,0,65,59
2017-05-30,0,0,75,62
2017-05-31,0.5,0,70,59
2017-06-01,0,0,75,54
